EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,RESPOSTA,TECNOLOGIA,TOTAL,CATEGORIA
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Me interesso em usar,ANDROID,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Me interesso em usar,IOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Me interesso em usar,LINUX_DEBIAN_UBUNTU_MINT_KALI,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Me interesso em usar,MACOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,CHROME_OS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,LINUX_ALPINE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,LINUX_RED_HAT_FEDORA_CENTOS_ROCKY,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,LINUX_SUSE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,OUTRO,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Não tenho opinião / Não sei,WINDOWS_NT_SERVER,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Uso atualmente,LINUX_ARCH_MANJARO_ENDEAVOUROS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,3-5 anos,Uso atualmente,WINDOWS_1011,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Já usei,ANDROID,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,CHROME_OS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,IOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,LINUX_ALPINE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,LINUX_ARCH_MANJARO_ENDEAVOUROS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,LINUX_RED_HAT_FEDORA_CENTOS_ROCKY,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,LINUX_SUSE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,MACOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,OUTRO,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,WINDOWS_NT_SERVER,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Uso atualmente,LINUX_DEBIAN_UBUNTU_MINT_KALI,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Uso atualmente,WINDOWS_1011,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,ANDROID,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,CHROME_OS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,IOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,LINUX_ALPINE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,LINUX_DEBIAN_UBUNTU_MINT_KALI,2,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,LINUX_RED_HAT_FEDORA_CENTOS_ROCKY,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,LINUX_SUSE,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,MACOS,2,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,OUTRO,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,WINDOWS_1011,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,WINDOWS_NT_SERVER,2,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,IOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,MACOS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não preciso / Não se aplica,CHROME_OS,1,SISTEMA_OPERACIONAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,CHROME_OS,1,SISTEMA_OPERACIONAL
