EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,FAVOR_APONTAR_SUA_FAIXA_ETARIA,FAVOR_APONTAR_O_SEU_TEMPO_DE_CASA_NO_CEPEL,FAVOR_APONTAR_SEU_MAIOR_NIVEL_DE_FORMACAO_EDUCACIONAL,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,HA_QUANTO_TEMPO_VOCE_JA_TRABALHA_COM_DADOS_GOVERNANCA_ENGENHARIA_CIENCIA_OU_ANALISE_DE_DADOS,SENIORIDADE_TEMPO_DE_CASA_NO_CEPEL,SENIORIDADE_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,SENIORIDADE_TEMPO_VOCE_JA_TRABALHA_COM_DADOS_GOVERNANCA_ENGENHARIA_CIENCIA_OU_ANALISE_DE_DADOS,TECNOLOGIA,RESPOSTA,CATEGORIA,TOTAL
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,ANDROID,Me interesso em usar,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,ANSIBLE,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,ANTIGRAVITY,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,ARGOCD,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,BACKSTAGE_IDP,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,BDD_BEHAVIORDRIVEN_DESIGN,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,BITBUCKET_PIEPELINES,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,BSC_DESIGNER,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,BUGZILLA,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,C,Já usei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CHEF,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CHROME_OS,Não tenho opinião / Não sei,SISTEMA_OPERACIONAL,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CIRCLE_CI,Não tenho opinião / Não sei,CI_CD,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CKAN,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CLEAN_ARCHITECTURE_E_CLEAN_CODE,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CLICKUP,Não tenho opinião / Não sei,FERRAMENTAS_GESTAO_PROJETOS,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CODER_CDE,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,COMPASS,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CONFLUENCE,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CRISPDM,Não tenho opinião / Não sei,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CROSSPLANE,Não tenho opinião / Não sei,INFRAESTRUTURA_COMO_CODIGO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CURSOR,Não tenho opinião / Não sei,IDES_E_FERRAMENTAS_DEV,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,CVS_CONCURRENT_VERSION_SYSTEM,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,C_E_C,Já usei,LINGUAGEM_PROGRAMACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DATAOPS,Não tenho opinião / Não sei,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DDD_DOMAINDRIVEN_DESIGN,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DESIGN_PATTERNS,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DEVOPS,Me interesso em usar,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DEVSECOPS_OWASP_TOP_10,Não tenho opinião / Não sei,BOAS_PRATICAS_ENGENHARIA,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DMBOK,Não tenho opinião / Não sei,METODOLOGIAS_GESTAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DOCKER,Me interesso em usar,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DOCKERCOMPOSE,Me interesso em usar,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DOCKERSWARM,Me interesso em usar,VIRTUALIZACAO_E_ACESSO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DOXYGEN,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DRAWIO,Não tenho opinião / Não sei,DOCUMENTACAO_COLABORACAO,1
DT/DGA - Depto de Tecnologia em Gestão de Ativos,25-34 anos,1-2 anos,Graduação,3-5 anos,Menos de 1 ano,Junior,Pleno,Junior,DVC_DATA_VERSION_CONTROL,Não tenho opinião / Não sei,CONTROLE_DE_VERSAO,1
